date,open,high,low,close,volume,symbol,name
2026-01-09,3279.376,3330.012,3269.993,3327.813,33328063500,sz399006,创业板指
2026-01-12,3323.636,3398.05,3282.389,3388.341,40685183170,sz399006,创业板指
2026-01-13,3390.688,3416.837,3307.631,3321.889,41954770103,sz399006,创业板指
2026-01-14,3333.171,3403.954,3308.627,3349.138,43995841831,sz399006,创业板指
2026-01-15,3318.109,3372.474,3309.062,3367.917,30757654761,sz399006,创业板指
2026-01-16,3394.346,3407.862,3354.649,3361.017,29998155132,sz399006,创业板指
2026-01-19,3340.936,3383.789,3326.134,3337.608,25640521661,sz399006,创业板指
2026-01-20,3340.456,3347.944,3257.435,3277.979,26073148031,sz399006,创业板指
2026-01-21,3270.127,3329.502,3270.127,3295.523,23018590975,sz399006,创业板指
2026-01-22,3312.751,3337.272,3280.317,3328.647,23538932550,sz399006,创业板指
2026-01-23,3334.017,3349.503,3316.654,3349.503,29347937166,sz399006,创业板指
2026-01-26,3365.606,3367.992,3304.356,3319.149,31480672335,sz399006,创业板指
2026-01-27,3316.021,3366.683,3277.257,3342.599,26646005109,sz399006,创业板指
2026-01-28,3359.788,3361.14,3301.048,3323.562,25814224847,sz399006,创业板指
2026-01-29,3322.48,3356.485,3298.588,3304.51,29496322405,sz399006,创业板指
2026-01-30,3301.541,3369.245,3255.648,3346.355,26302631763,sz399006,创业板指
2026-02-02,3368.141,3390.299,3262.122,3264.111,23854360757,sz399006,创业板指
2026-02-03,3318.06,3332.477,3249.061,3324.892,23061644766,sz399006,创业板指
2026-02-04,3298.322,3318.898,3244.711,3311.515,23731292772,sz399006,创业板指
2026-02-05,3277.721,3288.375,3238.784,3260.278,20529520802,sz399006,创业板指
2026-02-06,3222.884,3288.032,3199.144,3236.464,20940122955,sz399006,创业板指
2026-02-09,3299.597,3340.329,3276.567,3332.77,23531193301,sz399006,创业板指
2026-02-10,3321.884,3348.483,3320.537,3320.537,24045837249,sz399006,创业板指
2026-02-11,3312.643,3324.182,3284.239,3284.735,22071512282,sz399006,创业板指
